VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         118
VcThr:         111
VIbias_bus:    30
PHOffset:      190
Vcomp_ADC:     50
PHScale:       67
VIColOr:       100
Vcal:          200
CalDel:        116
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC10
Vdd:           6
Vana:          88
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         108
VcThr:         103
VIbias_bus:    30
PHOffset:      160
Vcomp_ADC:     50
PHScale:       66
VIColOr:       100
Vcal:          200
CalDel:        136
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC11
Vdd:           6
Vana:          95
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         134
VcThr:         103
VIbias_bus:    30
PHOffset:      175
Vcomp_ADC:     50
PHScale:       64
VIColOr:       100
Vcal:          200
CalDel:        128
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC12
Vdd:           6
Vana:          92
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         121
VcThr:         103
VIbias_bus:    30
PHOffset:      188
Vcomp_ADC:     50
PHScale:       65
VIColOr:       100
Vcal:          200
CalDel:        124
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC13
Vdd:           6
Vana:          82
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         129
VcThr:         103
VIbias_bus:    30
PHOffset:      188
Vcomp_ADC:     50
PHScale:       68
VIColOr:       100
Vcal:          200
CalDel:        140
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC14
Vdd:           6
Vana:          93
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         128
VcThr:         103
VIbias_bus:    30
PHOffset:      186
Vcomp_ADC:     50
PHScale:       61
VIColOr:       100
Vcal:          200
CalDel:        140
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
ROC:           BPix_BmO_SEC1_LYR2_LDR1H_MOD3_ROC15
Vdd:           6
Vana:          86
Vsh:           30
Vcomp:         12
VwllPr:        150
VwllSh:        150
VHldDel:       250
Vtrim:         114
VcThr:         103
VIbias_bus:    30
PHOffset:      176
Vcomp_ADC:     50
PHScale:       70
VIColOr:       100
Vcal:          200
CalDel:        148
TempRange:     0
WBC:           98
ChipContReg:   0
Readback:      1
